anio,Nafta95,Gasoil
1968,100,100
1969,119.328308092318,94.2168993950443
1970,135.582273124433,77.9122702119276
1971,111.329187294771,60.5084645743875
1972,108.960876051606,59.0185760431734
1973,141.498881869437,98.2154217317812
1974,177.467931684757,133.401311503892
1975,208.32949671259,163.550894530181
1976,224.841220697985,182.697166040088
1977,199.404289439052,198.564252968761
1978,168.51953690235,168.291808578704
1979,154.228513764917,155.013198193633
1980,203.49719801215,205.418086263681
1981,196.687291822814,199.28849360037
1982,188.58846074982,191.488922099093
1983,223.089910003318,238.614264606676
1984,211.840342323161,282.854031826678
1985,217.829269742392,302.023957226685
1986,175.710099119369,248.492247357682
1987,163.107363910674,231.878585755787
1988,145.460632533656,207.570172569517
1989,127.426049618775,182.122228915434
1990,129.647859000017,187.302802969694
1991,131.451578041141,176.298100286687
1992,116.12824313475,159.601572428624
1993,99.4774796197446,112.766273279773
1994,97.8774167364047,105.460132579747
1995,99.3335867635848,106.773419306022
1996,105.518794396051,120.602573276033
1997,111.824695372193,129.848397248474
1998,107.561223514179,125.268458513326
1999,106.803601441868,122.43410940963
2000,136.62868047167,152.399787363337
2001,140.088732096105,139.894798657147
2002,154.935982487029,187.091693535716
2003,166.789167066469,260.627989189175
2004,184.696808270418,309.525321960918
2005,187.462285396271,325.807678068562
2006,161.857784739526,331.908189601795
2007,154.176445159994,407.882420714906
2008,123.778530359265,331.419501404731
2009,123.756687089201,328.124065985102
2010,115.18034867392,305.385068212335
2011,132.470198791527,351.623443360513
2012,130.375681221421,341.676588558101
2013,129.29657173685,338.191487354808
2014,122.438248460258,
2015,112.930479095614,
2016,103.783110288869,
2017,105.287965388058,
2018,117.66643521162,
